colors kleuren
black zwart
blue blauw
brown bruin
gray grijs
green groen
orange oranje
purple paars
red rood
white wit
yellow geel
sizes maten
big groot
deep diep
long lang
narrow smal
short kort
small klein
tall hoog/lang
thick dik
thin dun
wide breed
tastes smaken
bitter bitter
fresh fris
salty zout
sour zuur
spicy gekruid
sweet zoet
qualities eigenschappen
bad slecht
clean schoon
dark donker
difficult moeilijk
dirty vuil
dry droog
easy gemakkelijk
empty leeg
expensive duur
fast snel
foreign buitenlands
full volledig
good goed
hard hard/moeilijk
heavy zwaar
inexpensive goedkoop
light licht
local lokaal/plaatselijk
new nieuw
noisy lawaaierig
old oud
powerful krachtig
quiet rustig/stil
correct correct
slow traag/langzaam
soft zacht
very zeer/erg
weak zwak
wet nat
wrong verkeerd
young jong
food voedsel
almonds amandelen
bread brood
breakfast ontbijt
butter boter
candy snoep
cheese kaas
chicken kip
cumin komijn
dessert dessert/toetje
dinner diner/avondeten
fish vis
fruit fruit
ice cream ijs
lamb lam
lemon citroen
lunch lunch/middageten
meal maaltijd
meat vlees
oven oven
pepper peper
plants planten
pork varkensvlees
salad salade
salt zout
sandwich boterham
sausage worst
soup soep
sugar suiker
supper avondmaal
turkey kalkoen
apple appel
banana banaan
oranges sinaasappels
peaches perziken
peanut pinda
pears peren
pineapple ananas
grapes druiven
strawberries aardbeien
vegetables groenten
carrot wortel
corn maïs
cucumber komkommer
garlic knoflook
lettuce sla
olives olijven
onions uien
peppers paprika
potatoes aardappelen
pumpkin pompoen
beans bonen
tomatoes tomaten
alligator alligator
alligators alligators
bear beer
bears beren
bird vogel
birds vogels
bull stier
bulls stieren
cat kat
cats katten
cow koe
cows koeien
deer hert
many deer veel herten
dog hond
dogs honden
donkey ezel
donkeys ezels
eagle arend/adelaar
eagles arenden/adelaars
elephant olifant
elephants olifanten
giraffe giraffe
giraffes giraffen
goat geit
goats geiten
horse paard
horses paarden
lion leeuw
lions leeuwen
monkey aap
monkeys apen
mouse muis
mice muizen
rabbit konijn
rabbits konijnen
snake slang
snakes slangen
tiger tijger
tigers tijgers
wolf wolf
wolves wolven
objects objecten
bathroom badkamer
bed bed
bedroom slaapkamer
ceiling plafond
chair stoel
clothes kleren
coat jas
cup beker/kop
desk bureau
dress kleding/jurk
floor verdieping/vloer
fork vork
furniture meubilair
glass glas
hat hoed
house huis
ink inkt
jacket jas
kitchen keuken
knife mes
lamp lamp
letter brief
map kaart
newspaper krant
notebook notitieboek
pants broek
paper papier
pen pen
pencil potlood
pharmacy apotheek
picture foto
plate bord
refrigerator koelkast
restaurant restaurant
roof dak
room kamer
rug vloerkleed
scissors schaar
shampoo shampoo
shirt hemd/shirt
shoes schoenen
soap zeep
socks sokken
spoon lepel
table tafel
toilet toilet
toothbrush tandenborstel
toothpaste tandpasta
towel handdoek
umbrella paraplu
underwear ondergoed
wall muur
wallet portemonnee
window venster/raam
telephone telefoon
this dit/deze
that dat/die
these deze
those die
Questions Vragen
how? hoe?
what? wat?
who? wie?
why? waarom?
where? waar?
different objects verschillende objecten
art kunst
bank bank
beach strand
book boek
by bicycle met de fiets
by bus met de bus
by car met de auto
by train met de trein
cafe café
country land
desert woestijn
dictionary woordenboek
earth aarde
flowers bloemen
football voetbal
forest bos
game spel
garden tuin
geography aardrijkskunde
history geschiedenis
house huis
island eiland
lake meer
library bibliotheek
math wiskunde
moon maan
mountain berg
movies bioscoop/films
music muziek
ocean oceaan
office kantoor
on foot te voet
player speler
river rivier
science wetenschap
sea zee
sky hemel/lucht
soccer voetbal
stars sterren
supermarket supermarkt
swimming pool zwembad
theater theater
tree boom
weather weer
bad weather slecht weer
cloudy bewolkt
cold koud
cool koel
foggy mistig
hot warm
nice weather mooi weer
pouring gieten
rain regen
raining regent
snow sneeuw
snowing sneeuwt
ice ijs
sunny zonnig
windy winderig
spring voorjaar/lente
summer zomer
autumn herfst
winter winter
people mensen
aunt tante
baby baby
brother broer
cousin neef (male)/nicht (female)
daughter dochter
dentist tandarts
doctor dokter
father vader
grandfather grootvader/opa
grandmother grootmoeder/oma
husband man
mother moeder
nephew neefje
niece nichtje
nurse verpleegkundige
policeman politieagent
postman postbode
professor hoogleraar
son zoon
teacher leraar (male)/lerares (female)
uncle oom
wife vrouw
Menu: Alphabet
Phrases Adjectives
Dutch Homepage Numbers
Nouns Vocabulary
Learn Dutch Plural
Videos Practice
